STATE,TOTAL VOTES,"(u'HILLARY CLINTON\nDemocratic', u'Votes')","(u'HILLARY CLINTON\nDemocratic', u'%')","(u'HILLARY CLINTON\nDemocratic', u'EV')","(u'DONALD TRUMP\nRepublican', u'Votes')","(u'DONALD TRUMP\nRepublican', u'%')","(u'DONALD TRUMP\nRepublican', u'EV')","(u'GARY JOHNSON\nLibertarian', u'Votes')","(u'GARY JOHNSON\nLibertarian', u'%')","(u'GARY JOHNSON\nLibertarian', u'EV')"
Rhode Island,"464,144","252,525",54.4%,4,"180,543",38.9%, ,"14,746",3.2%, 
South Carolina,"2,103,027","855,373",40.7%, ,"1,155,389",54.9%,9,"49,204",2.3%, 
South Dakota,"370,093","117,458",31.7%, ,"227,721",61.5%,3,"20,850",5.6%, 
Tennessee,"2,508,027","870,695",34.7%, ,"1,522,925",60.7%,11,"70,397",2.8%, 
Texas,"8,969,226","3,877,868",43.2%, ,"4,685,047",52.2%,36*,"283,492",3.2%, 
Utah,"1,131,430","310,676",27.5%, ,"515,231",45.5%,6,"39,608",3.5%, 
Vermont,"315,067","178,573",56.7%,3,"95,369",30.3%, ,"10,078",3.2%, 
Virginia,"3,982,752","1,981,473",49.8%,13,"1,769,443",44.4%, ,"118,274",3.0%, 
Washington,"3,209,214","1,742,718",54.3%,8*,"1,221,747",38.1%, ,"160,879",5.0%, 
West Virginia,"713,051","188,794",26.5%, ,"489,371",68.6%,5,"23,004",3.2%, 
Wisconsin,"2,976,150","1,382,536",46.5%, ,"1,405,284",47.2%,10,"106,674",3.6%, 
Wyoming,"255,849","55,973",21.9%, ,"174,419",68.2%,3,"13,287",5.2%, 
Totals,"136,559,088","65,853,516",48.2%,227,"62,984,824",46.1%,304,"4,489,221",3.3%,0
